{   'adj_mode': <AdjacencyMode.Partial: 'Partial'>,
    'aggr_mode': <AggrMode.MAX: 'Max'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CITESEER: 'CiteSeer'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 4,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: CiteSeer

Run 01 for GatV1_K2_D2_s_AggrMode.MAX and CiteSeer:

Epoch 01| Loss: 1.7992| Acc: 0.1250| Train Time: 3.5067s
Train: 0.9917| Val: 0.6560| Test: 0.6600| Eval Time: 9.6304s
Epoch 02| Loss: 1.1149| Acc: 0.9333| Train Time: 1.1430s
Train: 1.0000| Val: 0.6860| Test: 0.6860| Eval Time: 0.4474s
Epoch 03| Loss: 0.5703| Acc: 0.9833| Train Time: 1.1560s
Train: 1.0000| Val: 0.7120| Test: 0.6860| Eval Time: 0.5411s
Epoch 04| Loss: 0.2402| Acc: 0.9917| Train Time: 0.0953s
Train: 1.0000| Val: 0.7000| Test: 0.6680| Eval Time: 0.5996s
Epoch 05| Loss: 0.1334| Acc: 0.9833| Train Time: 0.1079s
Train: 1.0000| Val: 0.6960| Test: 0.6680| Eval Time: 0.5008s
Epoch 06| Loss: 0.0591| Acc: 0.9833| Train Time: 0.1034s
Train: 1.0000| Val: 0.6880| Test: 0.6650| Eval Time: 0.5988s
Epoch 07| Loss: 0.0347| Acc: 1.0000| Train Time: 0.1599s
Train: 1.0000| Val: 0.6880| Test: 0.6620| Eval Time: 0.5065s
