{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 8,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K1_s and Cora:

Epoch 01| Loss: 1.9796| Acc: 0.1000| Train Time: 0.5470s
Train: 0.9429| Val: 0.6960| Test: 0.7170| Eval Time: 0.4560s
Epoch 02| Loss: 1.3778| Acc: 0.7857| Train Time: 0.4735s
Train: 0.9500| Val: 0.7220| Test: 0.7470| Eval Time: 0.5070s
Epoch 03| Loss: 0.7036| Acc: 0.9143| Train Time: 0.4850s
Train: 0.9786| Val: 0.7940| Test: 0.8220| Eval Time: 0.4290s
Epoch 04| Loss: 0.2705| Acc: 0.9714| Train Time: 0.4886s
Train: 0.9929| Val: 0.8000| Test: 0.8280| Eval Time: 0.4940s
Epoch 05| Loss: 0.0827| Acc: 0.9857| Train Time: 0.4650s
Train: 1.0000| Val: 0.7880| Test: 0.8110| Eval Time: 0.4590s
Epoch 06| Loss: 0.0242| Acc: 0.9929| Train Time: 0.4270s
Train: 1.0000| Val: 0.7940| Test: 0.8030| Eval Time: 0.4850s
Epoch 07| Loss: 0.0072| Acc: 1.0000| Train Time: 0.4820s
Train: 1.0000| Val: 0.7800| Test: 0.8010| Eval Time: 0.5052s
Epoch 08| Loss: 0.0045| Acc: 1.0000| Train Time: 0.4930s
Train: 1.0000| Val: 0.7680| Test: 0.7890| Eval Time: 0.4610s
Epoch 09| Loss: 0.0002| Acc: 1.0000| Train Time: 0.4290s
Train: 1.0000| Val: 0.7580| Test: 0.7810| Eval Time: 0.4435s
Epoch 10| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3980s
Train: 1.0000| Val: 0.7560| Test: 0.7770| Eval Time: 0.4470s
Epoch 11| Loss: 0.0008| Acc: 1.0000| Train Time: 0.3980s
Train: 1.0000| Val: 0.7540| Test: 0.7690| Eval Time: 0.4310s
Epoch 12| Loss: 0.0001| Acc: 1.0000| Train Time: 0.4560s
Train: 1.0000| Val: 0.7560| Test: 0.7630| Eval Time: 0.4495s
Epoch 13| Loss: 0.0005| Acc: 1.0000| Train Time: 0.4140s
Train: 1.0000| Val: 0.7500| Test: 0.7590| Eval Time: 0.4460s
Epoch 14| Loss: 0.0002| Acc: 1.0000| Train Time: 0.4300s
Train: 1.0000| Val: 0.7460| Test: 0.7520| Eval Time: 0.4195s
Epoch 15| Loss: 0.0122| Acc: 0.9929| Train Time: 0.4300s
Train: 1.0000| Val: 0.7480| Test: 0.7560| Eval Time: 0.4065s
Epoch 16| Loss: 0.0000| Acc: 1.0000| Train Time: 0.3860s
Train: 1.0000| Val: 0.7480| Test: 0.7680| Eval Time: 0.4120s
Epoch 17| Loss: 0.0166| Acc: 0.9929| Train Time: 0.4614s
Train: 1.0000| Val: 0.7480| Test: 0.7670| Eval Time: 0.4250s
Epoch 18| Loss: 0.0000| Acc: 1.0000| Train Time: 0.4060s
Train: 1.0000| Val: 0.7440| Test: 0.7680| Eval Time: 0.4510s
Epoch 19| Loss: 0.0000| Acc: 1.0000| Train Time: 0.4780s
Train: 1.0000| Val: 0.7400| Test: 0.7610| Eval Time: 0.4710s
Epoch 20| Loss: 0.0401| Acc: 0.9929| Train Time: 0.4255s
Train: 1.0000| Val: 0.7320| Test: 0.7450| Eval Time: 0.4340s
Epoch 21| Loss: 0.0000| Acc: 1.0000| Train Time: 0.4480s
Train: 1.0000| Val: 0.7260| Test: 0.7360| Eval Time: 0.4290s
Epoch 22| Loss: 0.1538| Acc: 0.9929| Train Time: 0.4730s
Train: 1.0000| Val: 0.7160| Test: 0.7310| Eval Time: 0.4370s
Epoch 23| Loss: 0.0989| Acc: 0.9857| Train Time: 0.4591s
Train: 1.0000| Val: 0.7280| Test: 0.7290| Eval Time: 0.4910s
Epoch 24| Loss: 0.0476| Acc: 0.9929| Train Time: 0.4870s
Train: 1.0000| Val: 0.7280| Test: 0.7440| Eval Time: 0.4811s
Epoch 25| Loss: 0.0000| Acc: 1.0000| Train Time: 0.5800s
Train: 0.9929| Val: 0.7360| Test: 0.7470| Eval Time: 0.4981s
Epoch 26| Loss: 0.0816| Acc: 0.9857| Train Time: 0.6583s
Train: 0.9929| Val: 0.7280| Test: 0.7470| Eval Time: 0.4996s
Epoch 27| Loss: 0.0828| Acc: 0.9929| Train Time: 0.6701s
Train: 1.0000| Val: 0.7420| Test: 0.7450| Eval Time: 0.6336s
Epoch 28| Loss: 0.0791| Acc: 0.9929| Train Time: 0.6990s
Train: 1.0000| Val: 0.7460| Test: 0.7470| Eval Time: 0.5941s
Epoch 29| Loss: 0.0700| Acc: 0.9929| Train Time: 0.6456s
Train: 1.0000| Val: 0.7400| Test: 0.7430| Eval Time: 0.6040s
